"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"HINT_TEXT_HUD_TUTORIAL_DESTROY_REMAINS"	"Ваши противники не будут стоять на месте, поэтому очень важно научиться стрелять по движущимся целям. Уничтожьте врагов!"
"HINT_TEXT_HUD_TUTORIAL_RELATIVE_CAMERA_ROTATE"	"Наклоните левый стик вперед, чтобы начать движение. Используйте левый или правый стик для смены направления. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_RELATIVE_CAMERA_ROTATE_PS4"	"Наклоните левый джойстик вперед, чтобы начать движение. Используйте левый или правый джойстик для смены направления. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_RELATIVE_CAMERA_ROTATE_XBONE"	"Наклоните левый мини-джойстик вперед, чтобы начать движение. Используйте левый или правый мини-джойстик для смены направления. Двигайтесь по маркерам."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_BIND"	"Наведите прицел на машину врага. Нажмите @ffff9900[$primaryFire$]@ffffffff, чтобы воспользоваться основным оружием. Уничтожьте цели."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_L1"	"Используйте правый стик для выбора направления стрельбы. Наведите прицел на цель и нажмите @ffff9900[$key$]@ffffffff. Уничтожьте цели."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_L1_PS4"	"Используйте правый джойстик для выбора направления стрельбы. Наведите прицел на цель и нажмите @ffff9900[$key$]@ffffffff. Уничтожьте цели."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_L1_XBONE"	"Используйте правый мини-джойстик для выбора направления стрельбы. Наведите прицел на цель и нажмите @ffff9900[$key$]@ffffffff. Уничтожьте цели."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_R2"	"Используйте правый стик для выбора направления стрельбы. Наведите прицел на цель и нажмите @ffff9900[$key$]@ffffffff. Уничтожьте цели."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_R2_PS4"	"Используйте правый джойстик для выбора направления стрельбы. Наведите прицел на цель и нажмите @ffff9900[$key$]@ffffffff. Уничтожьте цели."
"HINT_TEXT_HUD_TUTORIAL_SHOOT_R2_XBONE"	"Используйте правый мини-джойстик для выбора направления стрельбы. Наведите прицел на цель и нажмите @ffff9900[$key$]@ffffffff. Уничтожьте цели."
"HINT_TEXT_MARKET_INFO"	"Продавайте предметы другим выжившим или приобретайте их, используя монеты."
"HINT_TEXT_OPEN_FACTION_PROGRESS"	"Нажми на «Снаряжение (ВСЕ)», чтобы увидеть награды, которые ты получишь."
"HINT_TEXT_OPEN_FACTION_PROGRESS_PS4"	"Нажми на «Снаряжение (ВСЕ)», чтобы увидеть награды, которые ты получишь."
"HINT_TEXT_PVE_MISSION_SELECT"	"Вступайте в бой!"
"HINT_TEXT_PVE_TO_BATTLE"	"Отправьтесь в рейд, чтобы добыть медь."
"HINT_TEXT_PVE_TO_PVE_TAB"	"Выберите вкладку «Рейд» и посмотрите на список заданий."
"HINT_TEXT_SEASON_QUEST_ACCEPT"	"Приступи к выполнению сезонных заданий. Не забывай возвращаться сюда за наградой после каждого задания."
"HINT_TEXT_SEASON_QUEST_CHOOSE"	"Выбери сложность заданий. Цепочку заданий можно сменить в любой момент."
"HINT_TEXT_SEASON_QUEST_OPEN"	"Начни выполнять сезонные задания, чтобы получить награды."
"HINT_TEXT_TUTORIAL_BACK_TO_HANGAR"	"Нажмите @ffff9900[$key$]@ffffffff, чтобы вернуться в Гараж и закончить обучение."
"HINT_TEXT_TUTORIAL_CONTROL_MISSION_SELECT"	"С ростом репутации станут доступны новые задания, но сначала нужно пройти обучающее задание."
"HINT_TEXT_TUTORIAL_CRAFT_DETAIL"	"Производство требует ресурсов. Пока хватит только на пулемет — постройте его кнопкой «Произвести»."
"HINT_TEXT_TUTORIAL_FACTION"	"Здесь можно увидеть свои награды за репутацию: детали и чертежи машин фракций."
"HINT_TEXT_TUTORIAL_GRAB_DETAIL"	"Производство занимает некоторое время. Когда работа будет закончена, заберите деталь на склад."
"HINT_TEXT_TUTORIAL_MISSION_SELECT"	"С ростом репутации можно выбирать различные задания. Нажмите «В бой» для начала битвы."
"HINT_TEXT_TUTORIAL_OPEN_FACTION_CRAFT"	"Фракции дают возможность создавать новые детали. Нажмите на кнопку  «Производство»"
"HINT_TEXT_TUTORIAL_OPEN_INVENTORY"	"Нажмите @ffff9900[$key$]@ffffffff, чтобы открыть склад, где хранятся все твои детали."
"HINT_TEXT_TUTORIAL_OPEN_INVENTORY_MACHINEGUN"	"А теперь поставьте на машину третий пулемёт. Нажмите @ffff9900[$key$]@ffffffff, чтобы открыть склад."
"HINT_TEXT_TUTORIAL_PICK_PART"	"Выберите деталь, нажав @ffff9900[$key$]@ffffffff."
"HINT_TEXT_TUTORIAL_PROLONGE_CRAFTSMAN"	"Чтобы создавать детали, нужно арендовать станок."
"HINT_TEXT_TUTORIAL_REMOVE_PART"	"Чтобы убрать деталь на склад, нажмите @ffff9900[$key$]@ffffffff."
"HINT_TEXT_TUTORIAL_TO_BATTLE"	"Нажмите «В Бой», чтобы отправиться на задание, повысить репутацию и получить награду."
"HINT_TEXT_TUTORIAL_TO_CAR_EDITOR"	"Нажмите кнопку «Сборка», чтобы войти в режим конструктора."
"HINT_TEXT_TUTORIAL_TO_CONTROL_BATTLE"	"Нажмите «В бой», чтобы отправиться на тренировочное задание. В заданиях вы получаете репутацию и награды."
"HINT_TEXT_TUTORIAL_TO_HOME"	"Кнопка «Гараж» вернет вас в гараж из любого места."
"HINT_TEXT_TUTORIAL_WAIT_TILL_START"	"Дождитесь начала боя"
"HINT_TEXT_TUTORIAL_WELD_PART"	"Установите деталь на машину, нажав @ffff9900[$key$]@ffffffff."
"HINT_TITLE_BLUEPRINT_OPEN"	"Чертежи"
"HINT_TITLE_BLUEPRINT_SAVE"	"Сохраненные чертежи"
"HINT_TITLE_BLUEPRINT_TO_FACTION_TAB"	"Фракционные чертежи"
"HINT_TITLE_BLUEPRINT_TO_USER_TAB"	"Сохраненные чертежи"
"HINT_TITLE_CAREDITOR_SAVE_BLUEPRINT"	"Загрузка чертежей"
"HINT_TITLE_FACTION_ACCEPT_FACTION"	"Присоединиться"
"HINT_TITLE_FACTION_CHOOSE_FACTION"	"Выбрать"
"HINT_TITLE_FACTION_TO_FACTION"	"Фракции"
"HINT_TITLE_HUD_TUTORIAL_CAMERA_MOUSE_ROTATE"	"Управление камерой"
"HINT_TITLE_HUD_TUTORIAL_CAMERA_ROTATE"	"Управление камерой"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_BINDS"	"Управление машиной"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_R2"	"Движение автомобиля"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_STICK"	"Движение автомобиля"
"HINT_TITLE_HUD_TUTORIAL_DESTROY_REMAINS"	"Закрепление материала"
"HINT_TITLE_HUD_TUTORIAL_RELATIVE_CAMERA_ROTATE"	"Движение автомобиля"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_BIND"	"Стрельба"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_L1"	"Стрельба"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_R2"	"Стрельба"
