"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"level_up_1_info_2"	"Y, como has sobrevivido hasta ahora, debes de ser alguien duro de pelar. Quédate con nosotros, los ingenieros, y ya veremos cómo va todo. Lucha y lábrate una reputación en combate; cuanto más elevada sea tu reputación, más recompensas de la facción podrás conseguir."
"level_up_1_info_3"	"Ah, una cosa más. No quedan fábricas, así que vas a tener que construir tu propio vehículo y hasta luchar por piezas de repuesto. Si demuestras tu valía, no se te abandonará. Hay un combate inminente; ve a demostrar de lo que eres capaz."
"level_up_2_part_wheel"	"¡Caray, has conseguido tu $def_name$! Venga, incorpora esto a tu vehículo y deja que los enemigos muerdan el polvo."
"level_up_6_part_Gun_Cannon_rare"	"Te vamos a recompensar con un arma inusual por tu gran servicio. Prueba este cañón automático. Sí, tiene algunos rasguños, pero dispara igual que uno nuevecito."
"level_up_advertising"	"Unirse a la batalla con los asaltantes de tierras baldías con el nuevo paquete de novatos «Mordedura de serpiente»!|El paquete incluye:|* Vehículo rápido 'Fang!|* Armas: rara ametralladora reforzado MM5-4 vector;|* Retrato del personaje único: Vicky;|* Spray can: Twilight metallic;|* 650 monedas."
"LEVEL_UP_SHOW_TUTORIAL"	"Ver tutorial"
"LEVIATHAN_HINT_TEXT3"	"El cobre que obtengas puede usarse para fabricar equipo nuevo o venderlo a otros jugadores en el mercado."
"LEVIATHAN_NO_WINS"	"El Leviatán ha completado las batallas sin obtener ninguna victoria."
"LEVIATHAN_WAITING_REWARD"	"El Leviatán ha terminado las batallas con el resultado de: {$win$;victoria;victorias} y {$defeat$;derrota;derrotas}.|Obtienes como recompensa: $rewardList$"
"LEVI_HAS_WEAK_RESULTS_TEXT"	"Tu leviatán no es lo bastante eficaz en batalla. ¿Enviar al leviatán de vuelta al garaje?"
"LOADING"	"CARGANDO"
"LOBBY_LEADER"	"Propietario"
"LOCKED_FOR_PROMO"	"No se permite a cuentas promocionales"
"LoginStatus_Connecting"	"Conectando"
"LoginStatus_Download_update"	"Descargando actualización: $downloaded$ / $total$"
"LoginStatus_Initializing"	"Inicializando"
"LOGIN_ARC_DESC"	"Inicia sesión en el juego con tu perfil de Arc."
"LOGIN_ARC_TITLE"	"Iniciar sesión con Arc"
"LOGIN_AUTH_CODE"	"Código de autenticación"
"LOGIN_BETA_TEST_TEXT"	"Crossout se encuentra todavía en fase de desarrollo activo, por lo que algunas características de juego, el rendimiento y otros parámetros pueden ser ajustados, mejorado o cambiado por completo. Puede no ser capaz de acceder a ciertas características del juego durante esta beta. Puede dejar sus comentarios y sugerencias sobre el foro del juego en forum.crossout.net"
"LOGIN_BETA_TEST_TITLE"	"Bienvenido|a Crossout Beta!"
"LOGIN_BUTTON"	"Entrar"
"LOGIN_CHANGE_USER"	"@ffff9900$key$@ffffffff Cambiar perfil"
"LOGIN_COMMON_ATTACH_DESC"	"Usar tu cuenta la vinculará a Steam"
"LOGIN_COMMON_ATTACH_TITLE"	"Usar Gaijin.net"
"LOGIN_COMMON_DESC"	"Si no tienes una cuenta de Gaijin.net, puedes $url href=\"https://login.gaijin.net/en/profile/register\" text=\"@ffff9900registrarte de forma gratuita\"$"
"Login_forum"	"Foros"
"LOGIN_PASSWORD_TITLE"	"Contraseña"
"LOGIN_PRESS_BTN_PS4"	"Pulsa $key$ para continuar"
"LOGIN_PRESS_BTN_XBONE"	"Pulsa $key$ para continuar"
"Login_quit"	"Abandonar"
"LOGIN_REMEMBER"	"Recordarme"
"Login_settings"	"Ajustes"
"Login_site"	"Sitio web"
"LOGIN_STEAM_ATTACH_BTN"	"Vincular"
"LOGIN_STEAM_ATTACH_CLEAR"	"Got it!"
"LOGIN_STEAM_ATTACH_DESC"	"Si inicias sesión con una cuenta de Gaijin.net, automáticamente la vincularás a tu actual cuenta de Steam."
"LOGIN_STEAM_ATTACH_INFO_TEXT"	"¡Saludos superviviente! Si ya jugaste a Crossout con una cuenta de Gaijin.net — introduce los datos de tu cuenta en el formulario de Gaijin.net. Si esta es tu primera vez en el juego — haz clic en \"Iniciar sesión a través de Steam\"."
"LOGIN_STEAM_ATTACH_OR_CREATE_TEXT"	"Si entras al juego con tu cuenta de Steam, solo puedes vincular una cuenta de Gaijin.net no autorizada previamente. Puedes vincularla desde el menú de opciones en la sección \"Juego\"."
"LOGIN_STEAM_CREATE_BTN"	"Crear"
"LOGIN_STEAM_DESC"	"Inicia sesión en el juego con tu perfil de Steam."
"LOGIN_STEAM_TITLE"	"Iniciar sesión con ID de Steam"
"Login_termsofuse"	"Condiciones de uso"
"LOGIN_TITLE"	"Autorización"
"LOGIN_USERNAME_TITLE"	"Correo electrónico"
"LOGIN_WAITING_IN_LQ_TITLE"	"Tiempo de espera aproximado:"
"MAP_DESC_ARENA_CANYON"	"Campo de batalla rodeado de rocas."
"MAP_DESC_ARIZONA_CASTLE"	"Base de los Lunáticos en el corazón del desierto."
"MAP_DESC_ARIZONA_SILO"	"Un puerto espacial abandonado en el desierto"
"MAP_DESC_BRIDGE"	"Lecho de río seco"
"MAP_DESC_CASTLE"	"Puesto avanzado junto a la vieja fortaleza"
"MAP_DESC_CEMETERY_HIGHWAY"	"Una carretera de metrópolis"
"MAP_DESC_CITYRUIN"	"Templo en ruinas en una antigua ciudad"
"MAP_DESC_FACTORY"	"Cuidado con el ácido"
"MAP_DESC_HANGAR"	"Tu garaje"
"MAP_DESC_HANGAR_HALLOWEEN"	"Tu garaje"
"MAP_DESC_HANGAR_NEWYEAR"	"El espíritu de las fiestas está aquí"
"MAP_DESC_IRON_WAY"	"Ruinas de una antaño poderosa constelación de satélites"
"MAP_DESC_IRON_WAY_CENTER"	"Antigua estación difusora de radio"
"MAP_DESC_LOST_COAST"	"Colinas a la orilla de un río"
"MAP_DESC_MOUNTAIN_SERPANTIN"	"Carretera de montaña serpenteante"
"MAP_DESC_PORT"	"Una antigua población portuaria."
"MAP_DESC_PORT_NEWYEAR"	"Guarida de Gronch"
"MAP_DESC_POWERPLANT"	"Central eléctrica abandonada"
"MAP_DESC_PVE_CANYONS"	"Cañón temido hasta por los más poderosos"
"MAP_DESC_REFINERY_NEWYEAR"	"Guarida de Gronch"
"MAP_DESC_RIVERPORT"	"Poblado en un lecho de río seco"
"MAP_DESC_ROCKCITY"	"Poblado construido en una roca maciza"
"MAP_DESC_ROCKCITY_2BASES"	"Cañón con los rostros del futuro del planeta"
"MAP_DESC_ROCKTEST"	"Poblado construido en una roca maciza"
"MAP_DESC_SAND_VALLEY"	"En algún lugar del desierto"
"MAP_DESC_SAND_VALLEY_HALLOWEEN"	"En algún lugar del desierto"
"MAP_HINT_TITLE1"	"Misiones"
"MAP_HINT_TITLE2"	"Incursiones"
"MAP_TITLE_ARENA_CANYON"	"Garganta del Diablo"
"MAP_TITLE_BRIDGE"	"Puente"
"MAP_TITLE_BUILDING_YARD"	"Sector EX"
"MAP_TITLE_BUILDING_YARD_HALLOWEEN"	"Sector EX"
"MAP_TITLE_CASTLE"	"Fortaleza"
"MAP_TITLE_cemetery_highway"	"Autopista muerta"
"MAP_TITLE_CITYRUIN"	"Casco antiguo"
"MAP_TITLE_FACTORY"	"Fábrica"
"MAP_TITLE_HANGAR"	"Garaje"
"MAP_TITLE_HANGAR_HALLOWEEN"	"Garaje"
"MAP_TITLE_HANGAR_NEWYEAR"	"Garaje navideño"
"MAP_TITLE_IRON_WAY"	"Selección oriental"
"MAP_TITLE_IRON_WAY_CENTER"	"Estación «Control-17»"
"MAP_TITLE_LOST_COAST"	"Costa perdida"
"MAP_TITLE_MOUNTAIN_SERPANTIN"	"Serpentina"
"MAP_TITLE_PORT"	"Terminal-45"
"MAP_TITLE_PORT_NEWYEAR"	"Terminal-45"
"MAP_TITLE_POWERPLANT"	"Central eléctrica"
"MAP_TITLE_POWERPLANT_NEWYEAR"	"Central eléctrica abandonada"
"MAP_TITLE_PVE_CANYONS"	"Cañón de la muerte"
"MAP_TITLE_REFINERY"	"Refinery"
"MAP_TITLE_REFINERY_NEWYEAR"	"Refineria"
"MAP_TITLE_RIVERPORT"	"Cementerio de barcos"
"MAP_TITLE_ROCKCITY"	"Ciudad Roca"
"MAP_TITLE_ROCKCITY_2BASES"	"Cañón de los fundadores"
"MAP_TITLE_ROCKTEST"	"Prueba de Ciudad Roca"
"MAP_TITLE_SAND_VALLEY"	"Valle desértico"
"MAP_TITLE_SAND_VALLEY_HALLOWEEN"	"Valle desértico"
"MAP_TITLE_test_map"	"Mapa de prueba"
"mask_ambulance_desc"	"Pasó muchas semanas intentando tratar a aquellos que habían contraído la enfermedad conocida como Crossout, pero nunca se encontró la cura. Vió y escuchó de los moribundos lo suficiente como para perder la cabeza. Ahora puede escuchar voces pidiendo ayuda y ver cosas que no están realmente allí (¿o que de alguna manera los demás no se dieron cuenta?).|Ahora Mortus cree que la vida es un enfermedad que golpeó a la Tierra y hace todo lo que está a su alcance para aliviar el sufrimiento de sus pacientes y curar el planeta."
"Mask_Bei_desc"	"El coleccionista"
"Mask_Bei_name"	"Scar AB"
"Mask_DLC_3_name"	"Aparición"
"Mask_Firestarters_2_name"	"Etna"
"Mask_football_Desc"	"Hector es el aficionado al fútbol más violento de Wasteland, pero también es el mejor periodista deportivo. Algunos bromean con que esto es solo porque ya no hay deportes ni quedan periodistas tras el desastre. Pero este tipo es realmente bueno en todo lo referente a gritos, silbidos y peleas. Siempre quiso asociar su vida con los deportes y cuando el mundo se fue al infierno, decidió que el apocalipsis no era una excusa para abandonar sus metas. Los soñadores están viviendo momentos difíciles, por lo que a menudo Hector se quedaba sin sustento, pero, recientemente, Scar AB reparó en él y lo invitó a ayudarle a organizar el \"Campeonato de Acero\"."
"Mask_football_Name"	"Hector"
"Mask_Germany_Raider_name"	"Augustus Donner"
"Mask_Hobo_desc"	"Existen varias teorías sobre cuál era su ocupación anterior. La gente piensa que era un explorador, un experto independiente, un comprador secreto, un autor anónimo y un revolucionario. Quién sabe qué hay debajo de ese casco, puede que sea un poco demasiado excéntrico incluso para Wasteland.|Nunca le dijo a nadie su nombre real. Pero a la gente no le llevó demasiado tiempo crear los suyos propios, así que empezaron a llamarlo Woody, en referencia a su casco y armadura de madera."
"Mask_Ironhand_desc"	"Mayor"
"Mask_Ironhand_name"	"Mano de hierro"
"Mask_Ivy_desc"	"Hija del mentor"
"Mask_Ivy_name"	"Ivy XO"
"Mask_Maxine_Name"	"Maxine"
"Mask_Mechanics_3_name"	"Mentor"
"Mask_Military_1_name"	"Elvina"
"Mask_Odegon_name"	"Odegon"
"Mask_Pete_desc"	"Señor de la guerra"
"Mask_Pete_name"	"Pete el Psicópata"
"Mask_Riley_desc"	"Primer Oficial Científico"
"Mask_Riley_name"	"Riley"
"Mask_Steam_name"	"Aleph"
"Mask_Traders_3_name"	"Hag"
"Mask_Ulysses_desc"	"Guardián del mapa"
"Mask_Ulysses_name"	"Ulysses"
"Mask_Valentine2018_name"	"Bonnie"
"MASS_TITLE"	"Masa"
"MASS_UNIT"	"kg"
"MATCHMAKING"	"Buscando oponentes"
"MAXAMMO_TITLE"	"Munición máx."
"MBPQuest_desc"	"Logra {$required_value$;vez;veces} el primer puesto en el modo Battle Royale."
"mechanics_Boss_easy"	"Cazador"
"mechanics_Boss_hard"	"Ballenero"
"mechanics_Boss_medium"	"Cazador de aves"
"mechanics_GunneryKiller_hard"	"Zapador"
"mechanics_GunneryKiller_medium"	"Zapador"
"mechanics_MeatKiller_easy"	"Llave"
"mechanics_MeatKiller_hard"	"Llave"
"mechanics_MeatKiller_medium"	"Llave"
"mechanics_MeleeKiller_easy"	"Maquinista"
"mechanics_MeleeKiller_hard"	"Maquinista"
"mechanics_MeleeKiller_medium"	"Maquinista"
"mechanics_OfficerKiller_hard"	"Especialista"
"mechanics_OfficerKiller_medium"	"Especialista"
"MEDALS_Category_FIRST"	"Parches por logros competitivos"
"MEDALS_Category_MULTIKILLS"	"Parches por destruir varios enemigos seguidos"
"MEDALS_Category_OTHER"	"Otros parches"
"MEDALS_Category_OTHERS"	"Parches de piezas de coche"
"MEDALS_Category_SPECIAL"	"Parches por el uso de módulos"
"MEDALS_Category_SPECIALKILLS"	"Parches por destruir enemigos en condiciones especiales"
"MEDALS_Category_SPREE"	"Parches para logros en cadena"
"MEDALS_Category_SURVIVE"	"Parches por sobrevivir en batalla"
"MEDAL_DESC_ASSIST_SPREE"	"Has ayudado a matar {$val$;enemigo;enemigos} sin morir"
"MEDAL_DESC_BACKSTAB"	"Se ha destruido a un enemigo $param$ s tras salir de invisibilidad"
"MEDAL_DESC_COMPANION_DESTRUCTION"	"Se ha destruido {$val$;compañero;compañeros} del enemigo"
"MEDAL_DESC_COMPANION_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} con un compañero"
"MEDAL_DESC_COMPANION_OWNER_DESTRUCTION"	"Se ha destruido {$val$;propietario;propietarios} de un compañero mientras que lo defendió."
"MEDAL_DESC_CRUISE_MISSILE_KILL_STREAK"	"Destruido {$val$;enemigo;enemigos} con misiles"
"MEDAL_DESC_DECONSTRUCTOR"	"Ha desprendido {$val$;pieza;piezas} a tiros de enemigos"
"MEDAL_DESC_EXPLOSIVE_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} con explosiones"
"MEDAL_DESC_FIREARM_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} con balas"
"MEDAL_DESC_FIRST_BLOOD"	"Ha sido el primero en matar a un enemigo en combate"
"MEDAL_DESC_FLAME_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} con daño de fuego"
"MEDAL_DESC_FLAWLESS"	"No has encajado daño en combate"
"MEDAL_DESC_FROM_THE_GRAVE"	"Se ha destruido a un enemigo tras tu propia muerte"
"MEDAL_DESC_HUMPTY_DUMPTY"	"Has recibido ayuda $val$ veces"
"MEDAL_DESC_KILLING_SPREE_0"	"Se ha destruido un montón de enemigos"
"MEDAL_DESC_KILLJOY"	"Racha de asesinatos interrumpida"
"MEDAL_DESC_LIFTER"	"Has ayudado a {$val$;amigo;amigos}"
"MEDAL_DESC_MELEE_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} en combate cuerpo a cuerpo"
"MEDAL_DESC_MORTAR_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} consecutivamente con artillería"
"MEDAL_DESC_MULTI_KILL"	"Se ha destruido {$val$;enemigo;enemigos} con menos de $param$ s entre muertes"
"MEDAL_DESC_ON_LAST_LEGS"	"Sobrevive con un 10% de durabilidad"
"MEDAL_DESC_PVEDEF_TOWER_LOW_HP"	"La torre de bombeo tenía una durabilidad menor al 3 % tras su defensa con éxito"
"MEDAL_DESC_PVEDEF_TOWER_NO_DMG"	"La torre de bombeo tenía una durabilidad del 100% tras su defensa con éxito"
"MEDAL_DESC_PVE_BOSS_MELEE_KILL_0"	"Has destruido al líder embistiéndole"
"MEDAL_DESC_PVE_MANY_RESPAWNS"	"Has regresado a la batalla $val$ veces en una incursión"
"MEDAL_DESC_PVE_NO_RESPAWN"	"Sin haber restaurado el vehículo ni una vez, logré la victoria en una incursión"
"MEDAL_DESC_PVE_PLAYER_NO_DMG_RECEIVED_0"	"Sin recibir daño, logré la victoria en una incursión"
"MEDAL_DESC_PVE_TOWER_LOW_HP_0"	"La torre de bombeo casi no lo cuenta"
"MEDAL_DESC_PVE_TOWER_NO_DMG_RECEIVED_0"	"La torre de bombeo no ha sufrido daños"
"MEDAL_DESC_QCOPTER_DESTRUCTION"	"Se ha destruido {$val$;dron;drones}"
"MEDAL_DESC_QCOPTER_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} con un dron"
"MEDAL_DESC_QCOPTER_OWNER_DESTRUCTION"	"Mata al dueño de un dron mientras esté en el aire"
"MEDAL_DESC_STEALTH_BREAK"	"Saca al enemigo de la invisibilidad"
"MEDAL_DESC_TURRET_DESTRUCTION"	"Se ha destruido {$val$;torreta;torretas}"
"MEDAL_DESC_TURRET_KILL_STREAK"	"Se ha destruido {$val$;enemigo;enemigos} con una torreta"
"MEDAL_DESC_TURRET_OWNER_DESTRUCTION"	"Has matado a un enemigo protegido con su propia torreta"
"MEDAL_DESC_UNYIELDING"	"Consigue más de la mitad de puntos del 'Mejor Jugador' (MVP)"
"MEDAL_LVL"	"$lvl$"
"MEDAL_NAME_ASSIST_SPREE_0"	"AYUDANTE"
"MEDAL_NAME_ASSIST_SPREE_1"	"AYUDANTE 2"
"MEDAL_NAME_ASSIST_SPREE_2"	"AYUDANTE 3"
"MEDAL_NAME_ASSIST_SPREE_3"	"AYUDANTE 4"
"MEDAL_NAME_ASSIST_SPREE_4"	"AYUDANTE 5"
"MEDAL_NAME_ASSIST_SPREE_5"	"AYUDANTE 6"
"MEDAL_NAME_ASSIST_SPREE_6"	"AYUDANTE 7"
"MEDAL_NAME_BACKSTAB_0"	"TRAICIÓN"
"MEDAL_NAME_COMPANION_DESTRUCTION_0"	"LÍDER I"
"MEDAL_NAME_COMPANION_DESTRUCTION_1"	"LÍDER II"
"MEDAL_NAME_COMPANION_DESTRUCTION_2"	"LÍDER III"
"MEDAL_NAME_COMPANION_KILL_STREAK_0"	"TITIRITERO I"
"MEDAL_NAME_COMPANION_KILL_STREAK_1"	"TITIRITERO II"
"MEDAL_NAME_COMPANION_KILL_STREAK_2"	"TITIRITERO III"
"MEDAL_NAME_COMPANION_OWNER_DESTRUCTION_0"	"CORTA EL CORDÓN"
"MEDAL_NAME_CRUISE_MISSILE_KILL_STREAK_0"	"OBSERVADOR I"
"MEDAL_NAME_CRUISE_MISSILE_KILL_STREAK_1"	"OBSERVADOR II"
"MEDAL_NAME_CRUISE_MISSILE_KILL_STREAK_2"	"OBSERVADOR III"
"MEDAL_NAME_DECONSTRUCTOR_0"	"DECONSTRUCTOR"
"MEDAL_NAME_DECONSTRUCTOR_1"	"DECONSTRUCTOR 2"
"MEDAL_NAME_DECONSTRUCTOR_2"	"DECONSTRUCTOR 3"
"MEDAL_NAME_DECONSTRUCTOR_3"	"DECONSTRUCTOR 4"
"MEDAL_NAME_EXPLOSIVE_KILL_STREAK_0"	"DEMOLEDOR"
"MEDAL_NAME_EXPLOSIVE_KILL_STREAK_1"	"DEMOLEDOR 2"
"MEDAL_NAME_EXPLOSIVE_KILL_STREAK_2"	"DEMOLEDOR 3"
"MEDAL_NAME_FIREARM_KILL_STREAK_0"	"PISTOLERO"
"MEDAL_NAME_FIREARM_KILL_STREAK_1"	"PISTOLERO 2"
"MEDAL_NAME_FIREARM_KILL_STREAK_2"	"PISTOLERO 3"
"MEDAL_NAME_FIRST_BLOOD_0"	"PRIMERA SANGRE"
"MEDAL_NAME_FLAME_KILL_STREAK_0"	"BARBACOA"
"MEDAL_NAME_FLAME_KILL_STREAK_1"	"BRONCEADO LETAL"
"MEDAL_NAME_FLAME_KILL_STREAK_2"	"PIROMANO"
"MEDAL_NAME_FLAWLESS_0"	"IMPECABLE"
"MEDAL_NAME_FROM_THE_GRAVE_0"	"TRAS MUERTE"
"MEDAL_NAME_HUMPTY_DUMPTY_0"	"SALTIMBANQUI"
"MEDAL_NAME_KILLING_SPREE_0"	"TERMINATOR"
"MEDAL_NAME_KILLING_SPREE_1"	"TERMINATOR 2"
"MEDAL_NAME_KILLING_SPREE_2"	"TERMINATOR 3"
"MEDAL_NAME_KILLING_SPREE_3"	"TERMINATOR 4"
"MEDAL_NAME_KILLING_SPREE_4"	"TERMINATOR 5"
"MEDAL_NAME_KILLING_SPREE_5"	"TERMINATOR 6"
"MEDAL_NAME_KILLING_SPREE_6"	"TERMINATOR 7"
"MEDAL_NAME_KILLJOY_0"	"RELAX"
"MEDAL_NAME_LIFTER_0"	"VOLUNTARIO"
"MEDAL_NAME_LIFTER_1"	"MECENAS"
"MEDAL_NAME_LIFTER_2"	"BENEFACTOR"
"MEDAL_NAME_LIFTER_3"	"ALTRUISTA"
"MEDAL_NAME_MELEE_KILL_STREAK_0"	"ARIETE"
"MEDAL_NAME_MELEE_KILL_STREAK_1"	"ARIETE 2"
"MEDAL_NAME_MELEE_KILL_STREAK_2"	"ARIETE 3"
"MEDAL_NAME_MORTAR_KILL_STREAK_0"	"ARTILLERO I"
"MEDAL_NAME_MORTAR_KILL_STREAK_1"	"ARTILLERO II"
"MEDAL_NAME_MORTAR_KILL_STREAK_2"	"ARTILLERO III"
"MEDAL_NAME_MULTI_KILL_0"	"ÁNGEL DE LA MUERTE"
"MEDAL_NAME_MULTI_KILL_1"	"ÁNGEL DE LA MUERTE 2"
"MEDAL_NAME_MULTI_KILL_2"	"ÁNGEL DE LA MUERTE 3"
"MEDAL_NAME_MULTI_KILL_3"	"ÁNGEL DE LA MUERTE 4"
"MEDAL_NAME_MULTI_KILL_4"	"ÁNGEL DE LA MUERTE 5"
"MEDAL_NAME_MULTI_KILL_5"	"ÁNGEL DE LA MUERTE 6"
"MEDAL_NAME_MULTI_KILL_6"	"ÁNGEL DE LA MUERTE 7"
"MEDAL_NAME_ON_LAST_LEGS_0"	"DE UN HILO"
"MEDAL_NAME_PVEDEF_TOWER_LOW_HP_0"	"PURA SUERTE"
"MEDAL_NAME_PVEDEF_TOWER_NO_DMG_0"	"DEFENSA PERFECTA"
"MEDAL_NAME_PVE_BOSS_MELEE_KILL_0"	"MATA AL LÏDER"
"MEDAL_NAME_PVE_MANY_RESPAWNS_0"	"¿INMORTAL?"
"MEDAL_NAME_PVE_MANY_RESPAWNS_1"	"SAMSARA"
"MEDAL_NAME_PVE_NO_RESPAWN_0"	"NERVIOS DE ACERO"
"MEDAL_NAME_PVE_PLAYER_NO_DMG_RECEIVED_0"	"FANTASMA"
"MEDAL_NAME_PVE_TOWER_LOW_HP_0"	"SUERTE LOCA"
"MEDAL_NAME_PVE_TOWER_NO_DMG_RECEIVED_0"	"SUPERPROTECTOR"
"MEDAL_NAME_QCOPTER_DESTRUCTION_0"	"EXTERMINADOR"
"MEDAL_NAME_QCOPTER_DESTRUCTION_1"	"EXTERMINADOR 2"
"MEDAL_NAME_QCOPTER_DESTRUCTION_2"	"EXTERMINADOR 3"
"MEDAL_NAME_QCOPTER_DESTRUCTION_3"	"EXTERMINADOR"
"MEDAL_NAME_QCOPTER_KILL_STREAK_0"	"MUERTE DESDE LO ALTO"
"MEDAL_NAME_QCOPTER_KILL_STREAK_1"	"MAESTRO DEL ENJAMBRE"
"MEDAL_NAME_QCOPTER_KILL_STREAK_2"	"MENTE COLMENA"
"MEDAL_NAME_QCOPTER_KILL_STREAK_3"	"MAESTRO DEL ENJAMBRE"
"MEDAL_NAME_QCOPTER_OWNER_DESTRUCTION_0"	"ES INÚTIL RESISTIRSE"
"MEDAL_NAME_QCOPTER_OWNER_DESTRUCTION_1"	"ES INÚTIL RESISTIRSE 2"
"MEDAL_NAME_QCOPTER_OWNER_DESTRUCTION_2"	"ES INÚTIL RESISTIRSE 3"
"MEDAL_NAME_QCOPTER_OWNER_DESTRUCTION_3"	"ES INÚTIL RESISTIRSE 4"
"MEDAL_NAME_STEALTH_BREAK_0"	"RABIA CIEGA"
"MEDAL_NAME_TURRET_DESTRUCTION_0"	"FISURA"
"MEDAL_NAME_TURRET_DESTRUCTION_1"	"ATAQUE"
"MEDAL_NAME_TURRET_DESTRUCTION_2"	"TODO EL MUNDO AL SUELO"
"MEDAL_NAME_TURRET_DESTRUCTION_3"	"ATAQUE"
"MEDAL_NAME_TURRET_KILL_STREAK_0"	"MANOS LIBRES"
"MEDAL_NAME_TURRET_KILL_STREAK_1"	"NO HE SIDO YO"
"MEDAL_NAME_TURRET_KILL_STREAK_2"	"POLTERGEIST"
"MEDAL_NAME_TURRET_KILL_STREAK_3"	"MANOS LIBRES"
"MEDAL_NAME_TURRET_OWNER_DESTRUCTION_0"	"AVANZANDO ENTRE LAS DEFENSAS"
"MEDAL_NAME_TURRET_OWNER_DESTRUCTION_1"	"AVANZANDO ENTRE LAS DEFENSAS 2"
"MEDAL_NAME_TURRET_OWNER_DESTRUCTION_2"	"AVANZANDO ENTRE LAS DEFENSAS 3"
"MEDAL_NAME_TURRET_OWNER_DESTRUCTION_3"	"AVANZANDO ENTRE LAS DEFENSAS 4"
"MEDAL_NAME_UNDER_THE_DOME_0"	"AEGIS I"
"MEDAL_NAME_UNDER_THE_DOME_1"	"AEGIS II"
"MEDAL_NAME_UNDER_THE_DOME_2"	"AEGIS III"
"MENU_ESCAPE_PROMOACC_WIPE"	"Restablecer cuenta"
"MENU_ESCAPE_TUTORIAL"	"Lecciones en vídeo"
"Metall_Dye"	"Juego: Metal"
"Metall_Dye_Desc"	"Cromado y dorado. ¡Justo lo que necesitas!"
"military_10lvl_Vehicle_Desc"	"Un vehículo blindado único, construido para ser la plataforma estable definitiva de los cañones pesados con la ayuda de amortiguadores de retroceso incorporados en las patas mecánicas."
"military_10lvl_Vehicle_Name"	"Stomper"
"military_13lvl_vehicle_desc"	"Este es un vehículo blindado experimental equipado con un potente cañón de largo alcance capaz de atravesar terrenos irregulares de cualquier tipo."
"military_13lvl_vehicle_name"	"Scorpion"
"military_5lvl_vehicle_desc"	"Un vehículo de combate equipado con una batería de misiles autoguiados y un dron con ruedas para defenderse en combate cuerpo a cuerpo."
"military_5lvl_vehicle_name"	"Trailblazer"
"military_7lvl_vehicle_desc"	"Este vehículo de combate siempre está en la vanguardia, listo para despejar el camino de la ofensiva."
"military_7lvl_vehicle_name"	"Francotirador"
"military_Boss_hard_name"	"Theromorph"
"MISSILE_ALARM"	"¡Misil entrante!"
"MISSIONWND_BOTLIST_nomads"	"Nómadas"
"MissionWnd_Brawl_info"	"Premio especial:"
"MissionWnd_Brawl_left"	"Restante"
"MissionWnd_Brawl_progress"	"Combates $val$/$max$"
"MissionWnd_Brawl_season"	"Fase $val$"
"MissionWnd_Brawl_tooltip"	"Participa en Brawls para hacerte con piezas únicas:||$stages$||A final de mes se reiniciará el contador de Brawls completadas y cambiarán las recompensas."
"MissionWnd_Brawl_tooltip_stage"	"Fase $val$ ($state$) — $item$ $count$ uds."
"MissionWnd_Brawl_tooltip_state_finished"	"Cumplido"
"MissionWnd_Brawl_tooltip_state_progress"	"Combates $val$/$max$"
"MissionWnd_daily_loot_used"	"Hoy ya has recibido esta recompensa."
"MissionWnd_daily_loot_used_2"	"La siguiente recompensa se desbloqueará en: $time$"
"MissionWnd_group_BRAWL"	"Pelea"
"MissionWnd_group_BRAWL_desc"	"Pelea contra supervivientes."
"MissionWnd_group_CLAN"	"Clanes"
"MissionWnd_group_CLAN_desc"	"Batallas en equipo 4 vs 4."
"MissionWnd_group_CLAN_tooltip"	"Hazte con la victorias en las batallas de clanes y consigue recompensas únicas."
"MissionWnd_group_CUSTOM_GAME"	"Batalla personalizada"
"MissionWnd_group_LADDER_tooltip"	"Lucha por los primeros puestos de la clasificación y consigue recompensas honoríficas."
"MissionWnd_Group_MAP"	"Mapa del mundo"
"MissionWnd_group_MAP_tooltip"	"Participa en misiones, incursiones y 'Brawls' para conseguir recursos y nuevas piezas"
"MissionWnd_group_PVE_desc"	"Incursión contra bandidos"
"MissionWnd_group_SPECIAL_desc"	"Misión contra supervivientes"
"MissionWnd_Ladder_Do_Something"	"Participa en varias batallas clasificadas para obtener tu rango de clasificación."
"MissionWnd_next_rotation_timer"	"@ff808080 — habrá nuevas misiones disponibles en $time$"
"MISSIONWND_PARTY_FORBIDDEN"	"Un jugador no puede unirse al combate."
"MISSIONWND_PARTY_READY_COUNT"	"A punto $count$/$maxCount$"
"MissionWnd_queue_info"	"Tiempo de espera medio: $time$"
"MissionWnd_scgedule_update_timer"	"@ff808080 — habrá nuevas misiones disponibles en $time$"
"MobKills_Cannon_Desc"	"En el modo 'Incursión', destruye {$required_value$;enemigo;enemigos} usando un cañón."
